===============================================================
Gobuster v3.6
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://play.picoctf.org/practice?FUZZ=1
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /home/piyal/SecLists/Discovery/Web-Content/BurpSuite-ParamMiner/lowercase-headers
[+] Excluded Status codes:   400,301
[+] User Agent:              gobuster/3.6
[+] Timeout:                 10s
===============================================================
Starting gobuster in fuzzing mode
===============================================================
[2KFound: [Status=200] [Length=2466] [Word=Download-E-Invalid-Content-Type] https://play.picoctf.org/practice?Download-E-Invalid-Content-Type=1
[2KFound: [Status=200] [Length=2466] [Word=Download-E-Invalid-Request] https://play.picoctf.org/practice?Download-E-Invalid-Request=1
[2KFound: [Status=200] [Length=2466] [Word=Download-E-Invalid-Param] https://play.picoctf.org/practice?Download-E-Invalid-Param=1
[2KFound: [Status=200] [Length=2466] [Word=Download-E-Invalid-Resource] https://play.picoctf.org/practice?Download-E-Invalid-Resource=1
[2KFound: [Status=200] [Length=2466] [Word=Download-E-No-Ext-Mmagic] https://play.picoctf.org/practice?Download-E-No-Ext-Mmagic=1
[2KFound: [Status=200] [Length=2466] [Word=Download-E-No-Ext-Zlib] https://play.picoctf.org/practice?Download-E-No-Ext-Zlib=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Inline] https://play.picoctf.org/practice?Download-Inline=1
[2KFound: [Status=200] [Length=2466] [Word=Download-No-Server] https://play.picoctf.org/practice?Download-No-Server=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Mime-Type] https://play.picoctf.org/practice?Download-Mime-Type=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Size] https://play.picoctf.org/practice?Download-Size=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Status-Not-Found] https://play.picoctf.org/practice?Download-Status-Not-Found=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Status-Server-Error] https://play.picoctf.org/practice?Download-Status-Server-Error=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Status-Unauthorized] https://play.picoctf.org/practice?Download-Status-Unauthorized=1
